"year","seas","fleet","catch_target","F_target","catch_implemented","F_implemented","catch_achieved_1","F_achieved_1","F_update_1","catch_achieved_2","F_achieved_2","F_update_2","catch_achieved_3","F_achieved_3","F_update_3","catch_achieved_4","F_achieved_4","F_update_4","catch_achieved_5","F_achieved_5","F_update_5","catch_achieved_6","F_achieved_6","F_update_6","catch_achieved_7","F_achieved_7","F_update_7","catch_achieved_8","F_achieved_8","F_update_8","catch_achieved_9","F_achieved_9","F_update_9","catch_achieved_10","F_achieved_10","F_update_10","catch_achieved_11","F_achieved_11","F_update_11","catch_achieved_12","F_achieved_12","F_update_12","catch_achieved_13","F_achieved_13","F_update_13","catch_achieved_14","F_achieved_14","F_update_14","catch_achieved_15","F_achieved_15","F_update_15","catch_achieved_16","F_achieved_16","F_update_16","catch_achieved_17","F_achieved_17","F_update_17","catch_achieved_18","F_achieved_18","F_update_18","catch_achieved_19","F_achieved_19","F_update_19","catch_achieved_20","F_achieved_20","F_update_20"
2020,1,1,0.000789071,0.01,0.000789071,0.01,8.35021,0.01,0.000731893426064141,0.611881,0.000731893,3.94556863210584e-05,0.0329891,3.94557e-05,3.57558105713016e-06,0.00298957,3.57558e-06,1.1004411988376e-06,0.000920088,1.10044e-06,9.68554207153401e-07,0.000809816,9.68554e-07,9.44598968168305e-07,0.000789787,9.44599e-07,9.43749342855561e-07,0.000789077,9.43749e-07,9.43741916648833e-07,0.00078907,9.43742e-07,9.43743078318078e-07,0.000789071,9.43743e-07,9.43743e-07,0.000789071,9.43743e-07,9.43743e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,2,2,0.0783792,0.01,0.0783792,0.01,14.0036,0.01,0.00213970995548502,3.00692,0.00213971,0.000507175653220379,0.713072,0.000507176,9.84720942655374e-05,0.138461,9.84721e-05,5.62105963662801e-05,0.0790378,5.62106e-05,5.57980517245093e-05,0.0784577,5.57981e-05,5.57447115385919e-05,0.0783827,5.57447e-05,5.57423469980747e-05,0.0783794,5.57423e-05,5.57421774261437e-05,0.0783792,5.57422e-05,5.57422e-05,0.0783792,5.57422e-05,5.57422e-05,0.0783792,5.57422e-05,5.57422e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,1,3,1.09171e-05,0.01,1.09171e-05,0.01,2.60982,0.01,0.00132316050890756,0.34603,0.00132316,4.74875543062409e-05,0.0124224,4.74876e-05,9.62669583245416e-06,0.00251829,9.6267e-06,1.50069614777073e-06,0.000392575,1.5007e-06,3.68542812122283e-07,9.6409e-05,3.68543e-07,6.64574022585891e-08,1.73849e-05,6.64574e-08,4.48726642830756e-08,1.17385e-05,4.48727e-08,4.19329552930741e-08,1.09695e-05,4.1933e-08,4.177551970503e-08,1.09283e-05,4.17755e-08,4.17327413653073e-08,1.09171e-05,4.17327e-08,4.17327e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,2,3,5.42341e-06,0.01,5.42341e-06,0.01,1.96962,0.01,0.0022019678027896,0.436409,0.00220197,0.000174896776380245,0.0347004,0.000174897,1.78835379191578e-05,0.00354842,1.78835e-05,9.48119533846136e-08,1.88126e-05,9.4812e-08,3.46760493860699e-08,6.88042e-06,3.4676e-08,2.91305711827587e-08,5.78009e-06,2.91306e-08,2.77121701370879e-08,5.49865e-06,2.77122e-08,2.73514937007485e-08,5.42708e-06,2.73515e-08,2.73366502419278e-08,5.42414e-06,2.73367e-08,2.73337335409547e-08,5.42356e-06,2.73337e-08,2.73330177314135e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,1,1,0.00467536,0.01,0.00467536,0.01,20.6401,0.01,0.000438212578137235,0.906285,0.000438213,5.23705580153403e-05,0.10832,5.23706e-05,1.18737414153012e-05,0.0245591,1.18737e-05,3.14282077674326e-06,0.00650049,3.14282e-06,2.46952570006283e-06,0.00510787,2.46953e-06,2.30144916947842e-06,0.00476023,2.30145e-06,2.26992171171504e-06,0.00469502,2.26992e-06,2.26160628522286e-06,0.00467782,2.26161e-06,2.26050043974349e-06,0.00467553,2.2605e-06,2.2604328914529e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2,2,0.293565,0.01,0.293565,0.01,20.4517,0.01,0.00202867642067747,4.17016,0.00202868,0.000459589463360779,0.945191,0.000459589,0.000165155325467342,0.339684,0.000165155,0.000148282911099126,0.304984,0.000148283,0.000142771496655484,0.293648,0.000142771,0.000142738002978634,0.293579,0.000142738,0.000142732730929678,0.293569,0.000142733,0.000142731238579411,0.293566,0.000142731,0.000142730549267596,0.293564,0.000142731,0.000142731402480126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,1,3,5.50263e-05,0.01,5.50263e-05,0.01,2.83799,0.01,0.00153220859043907,0.435754,0.00153221,0.000113074621837955,0.0321654,0.000113075,2.30306025636923e-05,0.00655142,2.30306e-05,9.76824294012601e-07,0.000277874,9.76824e-07,2.83318654104457e-07,8.05948e-05,2.83319e-07,1.97225369953526e-07,5.61041e-05,1.97225e-07,1.93757290586407e-07,5.51176e-05,1.93757e-07,1.93499412920579e-07,5.50442e-05,1.93499e-07,1.93443734624644e-07,5.50284e-05,1.93444e-07,1.93437827775654e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2,3,3.05486e-05,0.01,3.05486e-05,0.01,2.27841,0.01,0.00182951078800977,0.419457,0.00182951,0.00029857935251591,0.0685118,0.000298579,1.32617930378184e-05,0.00304334,1.32618e-05,2.87342439935141e-06,0.000659406,2.87342e-06,4.88268800551107e-07,0.00011205,4.88269e-07,1.5440202669212e-07,3.54329e-05,1.54402e-07,1.36424671086424e-07,3.13074e-05,1.36425e-07,1.33688104304069e-07,3.06794e-05,1.33688e-07,1.33171981507712e-07,3.05609e-05,1.33172e-07,1.33119043268465e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,1,1,0.0039307,0.01,0.0039307,0.01,21.963,0.01,0.00215694671984795,4.74516,0.00215695,0.000506032881011912,1.11364,0.000506033,5.92360385248632e-05,0.130373,5.9236e-05,9.61082736164544e-06,0.0211528,9.61083e-06,1.8675318743206e-06,0.00411032,1.86753e-06,1.80206976334682e-06,0.00396624,1.80207e-06,1.78748987856013e-06,0.00393415,1.78749e-06,1.78599051549843e-06,0.00393085,1.78599e-06,1.78592550715146e-06,0.00393071,1.78593e-06,1.78592582530802e-06,0.00393071,1.78593e-06,1.7859262515984e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,2,2,0.340668,0.01,0.340668,0.01,31.0073,0.01,0.000854041727213634,2.65744,0.000854042,0.000213593352353262,0.664997,0.000213593,0.000126948670523474,0.395287,0.000126949,0.000110845851740867,0.345151,0.000110846,0.00010958855658333,0.341237,0.000109589,0.000109414751491061,0.340696,0.000109415,0.000109406063056828,0.340669,0.000109406,0.00010940568114098,0.340668,0.000109406,0.000109406,0.340669,0.000109406,0.000109405684603508,0.340668,0.000109406,0.000109406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,1,3,0.00014739,0.01,0.00014739,0.01,5.96339,0.01,0.0020788913551639,1.2419,0.00207889,0.0001705838953895,0.101944,0.000170584,6.84421238205011e-06,0.00409053,6.84421e-06,6.71485020720454e-07,0.000401324,6.71485e-07,3.22881548523987e-07,0.000192976,3.22882e-07,2.47214586410104e-07,0.000147752,2.47215e-07,2.46619325101191e-07,0.000147396,2.46619e-07,2.46609698425184e-07,0.000147391,2.4661e-07,2.4660848151448e-07,0.00014739,2.46608e-07,2.46608e-07,0.00014739,2.46608e-07,2.46608e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,2,3,8.00732e-05,0.01,8.00732e-05,0.01,4.87812,0.01,0.00171424817175663,0.840994,0.00171425,0.00012843161286503,0.0630741,0.000128432,1.01688367567836e-05,0.00499489,1.01688e-05,1.50317767963908e-06,0.000738367,1.50318e-06,4.0895684661133e-07,0.000200882,4.08957e-07,2.00556062860338e-07,9.85141e-05,2.00556e-07,1.66808506398623e-07,8.19372e-05,1.66809e-07,1.63898122186988e-07,8.05076e-05,1.63898e-07,1.63190509129895e-07,8.016e-05,1.63191e-07,1.63043924151619e-07,8.0088e-05,1.63044e-07,1.6301817378543e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
